trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
102001,17:30:00,17:30:00,101,1,,0,1,,1
102001,17:33:00,17:33:00,102,2,,0,0,,1
102001,17:36:00,17:36:00,103,3,,0,0,,1
102001,17:39:00,17:39:00,104,4,,0,0,,1
102001,17:42:00,17:42:00,105,5,,0,0,,1
102001,,,106,6,,1,1,,0
102001,17:46:00,17:46:00,107,7,,0,0,,1
102001,17:49:00,17:50:00,108,8,,0,0,,1
102001,,,109,9,,1,1,,0
102001,17:55:00,17:55:00,110,10,,0,0,,1
102001,,,111,11,,1,1,,0
102001,17:58:00,17:59:00,112,12,,0,0,,1
102001,18:03:00,18:03:00,113,13,,0,0,,1
102001,,,114,14,,1,1,,0
102001,18:07:00,18:08:00,115,15,,0,0,,1
102001,,,116,16,,1,1,,0
102001,,,117,17,,1,1,,0
102001,,,118,18,,1,1,,0
102001,18:19:00,18:19:00,119,19,,0,0,,1
102001,18:21:00,18:21:00,120,20,,1,0,,1
102003,18:00:00,18:00:00,101,1,,0,1,,1
102003,18:03:00,18:03:00,102,2,,0,0,,1
102003,18:06:00,18:06:00,103,3,,0,0,,1
102003,18:09:00,18:09:00,104,4,,0,0,,1
102003,18:12:00,18:12:00,105,5,,0,0,,1
102003,,,106,6,,1,1,,0
102003,18:16:00,18:16:00,107,7,,0,0,,1
102003,18:19:00,18:20:00,108,8,,0,0,,1
102003,,,109,9,,1,1,,0
102003,18:25:00,18:25:00,110,10,,0,0,,1
102003,,,111,11,,1,1,,0
102003,18:28:00,18:29:00,112,12,,0,0,,1
102003,18:32:00,18:32:00,113,13,,0,0,,1
102003,,,114,14,,1,1,,0
102003,18:37:00,18:38:00,115,15,,0,0,,1
102003,,,116,16,,1,1,,0
102003,,,117,17,,1,1,,0
102003,,,118,18,,1,1,,0
102003,18:49:00,18:49:00,119,19,,0,0,,1
102003,18:51:00,18:51:00,120,20,,1,0,,1
102005,18:19:00,18:19:00,101,1,,0,1,,1
102005,18:22:00,18:22:00,102,2,,0,0,,1
102005,18:25:00,18:25:00,103,3,,0,0,,1
102005,18:28:00,18:28:00,104,4,,0,0,,1
102005,18:31:00,18:31:00,105,5,,0,0,,1
102005,,,106,6,,1,1,,0
102005,18:35:00,18:35:00,107,7,,0,0,,1
102005,18:38:00,18:39:00,108,8,,0,0,,1
102005,,,109,9,,1,1,,0
102005,18:44:00,18:44:00,110,10,,0,0,,1
102005,,,111,11,,1,1,,0
102005,18:47:00,18:49:00,112,12,,0,0,,1
102005,18:52:00,18:52:00,113,13,,0,0,,1
102005,,,114,14,,1,1,,0
102005,18:57:00,18:58:00,115,15,,0,0,,1
102005,,,116,16,,1,1,,0
102005,,,117,17,,1,1,,0
102005,,,118,18,,1,1,,0
102005,19:08:00,19:08:00,119,19,,0,0,,1
102005,19:11:00,19:11:00,120,20,,1,0,,1
102007,18:36:00,18:36:00,101,1,,0,1,,1
102007,18:39:00,18:39:00,102,2,,0,0,,1
102007,18:42:00,18:42:00,103,3,,0,0,,1
102007,18:45:00,18:45:00,104,4,,0,0,,1
102007,18:48:00,18:48:00,105,5,,0,0,,1
102007,,,106,6,,1,1,,0
102007,18:52:00,18:52:00,107,7,,0,0,,1
102007,18:55:00,18:56:00,108,8,,0,0,,1
102007,,,109,9,,1,1,,0
102007,19:01:00,19:01:00,110,10,,0,0,,1
102007,,,111,11,,1,1,,0
102007,19:05:00,19:05:00,112,12,,0,0,,1
102007,19:09:00,19:09:00,113,13,,0,0,,1
102007,,,114,14,,1,1,,0
102007,19:13:00,19:14:00,115,15,,0,0,,1
102007,,,116,16,,1,1,,0
102007,,,117,17,,1,1,,0
102007,,,118,18,,1,1,,0
102007,19:25:00,19:25:00,119,19,,0,0,,1
